order_item_id,order_id,product_id,quantity,unit_price,discount_amount,unit_cost
1,1,1102,1,53.0,0.0,18.98
2,1,884,2,99.0,9.9,40.97
3,2,379,1,128.0,0.0,47.39
4,3,659,2,55.0,0.0,25.15
5,3,140,2,124.0,0.0,43.44
6,3,490,2,136.0,0.0,56.65
7,3,632,3,53.0,15.9,18.43
8,4,727,3,55.0,16.5,25.19
9,4,356,2,116.0,0.0,44.46
10,5,596,1,135.0,6.75,68.3
11,5,883,1,105.0,0.0,45.38
12,6,333,2,134.0,13.4,63.64
13,6,219,1,71.0,3.55,29.35
14,7,492,1,129.0,6.45,61.16
15,7,542,2,134.0,0.0,64.44
16,7,222,1,59.0,0.0,22.21
17,7,1059,3,225.0,135.0,82.18
18,8,720,2,55.0,22.0,23.08
19,8,431,1,117.0,0.0,39.9
20,8,60,1,125.0,6.25,62.6
21,8,402,1,117.0,0.0,43.9
22,9,244,3,64.0,9.6,26.73
23,10,1034,1,171.0,0.0,58.97
24,10,628,1,55.0,11.0,25.74
25,10,724,1,57.0,0.0,23.65
26,10,244,2,64.0,0.0,26.73
27,11,311,1,136.0,0.0,67.98
28,11,62,1,98.0,14.7,37.57
29,12,489,3,125.0,18.75,57.62
30,13,691,2,63.0,0.0,24.53
31,14,513,1,126.0,6.3,55.36
32,14,164,1,113.0,0.0,53.4
33,14,364,2,122.0,0.0,47.42
34,15,106,1,121.0,0.0,52.8
35,16,662,3,63.0,0.0,26.2
36,17,977,1,205.0,41.0,104.69
37,18,162,1,107.0,0.0,51.55
38,18,733,1,56.0,0.0,22.52
39,19,172,1,116.0,17.4,41.94
40,20,71,2,111.0,0.0,56.27
41,20,595,1,148.0,7.4,52.23
42,21,375,1,108.0,0.0,53.81
43,22,698,2,58.0,0.0,24.25
44,23,627,1,55.0,0.0,20.92
45,24,753,2,60.0,0.0,30.1
46,24,344,1,103.0,0.0,40.28
47,24,748,3,54.0,0.0,21.27
48,24,624,1,51.0,0.0,19.2
49,25,863,1,94.0,4.7,41.53
50,26,181,2,77.0,0.0,29.41
51,26,140,2,124.0,0.0,43.44
52,26,368,1,98.0,0.0,50.95
53,26,253,1,75.0,15.0,25.56
54,27,672,2,64.0,0.0,22.8
55,27,758,1,49.0,9.8,18.98
56,28,476,1,107.0,0.0,44.81
57,29,49,3,114.0,0.0,47.77
58,29,203,2,68.0,0.0,29.11
59,29,609,2,65.0,0.0,25.65
60,30,236,2,58.0,0.0,29.74
61,31,496,2,124.0,0.0,53.98
62,32,734,1,64.0,6.4,26.12
63,32,857,1,104.0,0.0,43.38
64,32,488,1,115.0,0.0,52.16
65,33,5,1,105.0,0.0,46.18
66,33,933,2,70.0,0.0,24.98
67,34,183,2,58.0,0.0,22.26
68,34,380,1,100.0,5.0,48.82
69,34,131,2,107.0,0.0,54.07
70,34,152,1,107.0,10.7,47.51
71,35,674,1,68.0,0.0,29.3
72,35,522,1,113.0,16.95,52.2
73,35,444,1,125.0,0.0,50.98
74,36,65,1,106.0,0.0,50.87
75,36,602,1,56.0,0.0,26.7
76,36,21,3,121.0,18.15,54.96
77,36,135,1,100.0,0.0,50.15
78,37,982,3,211.0,31.65,74.19
79,37,383,2,106.0,0.0,50.36
80,37,31,1,109.0,10.9,42.98
81,38,729,1,50.0,0.0,19.88
