order_id,customer_id,order_date,channel,region,order_status,total_amount
1,581,2025-03-16,Retail,Southeast,completed,241.1
2,337,2025-04-05,Ecommerce,Midwest,completed,128.0
3,657,2025-06-20,Ecommerce,Midwest,completed,773.1
4,685,2025-03-31,Ecommerce,Southeast,completed,380.5
5,208,2025-02-25,Retail,Northeast,completed,233.25
6,821,2025-12-04,Ecommerce,Northeast,completed,322.05
7,737,2025-07-06,Retail,Midwest,completed,989.55
8,247,2025-10-13,Ecommerce,Southwest,completed,440.75
9,337,2025-05-07,Retail,Midwest,completed,182.4
10,1189,2025-01-02,Retail,Northeast,completed,400.0
11,682,2025-11-06,Ecommerce,Southwest,completed,219.3
12,119,2025-01-25,Ecommerce,West,completed,356.25
13,922,2025-01-15,Wholesale,Southwest,completed,126.0
14,925,2025-10-05,Ecommerce,Southeast,completed,476.7
15,72,2025-03-18,Ecommerce,Midwest,completed,121.0
16,257,2025-11-26,Ecommerce,West,completed,189.0
17,103,2025-01-10,Ecommerce,Southeast,completed,164.0
18,318,2025-04-23,Ecommerce,Southwest,completed,163.0
19,332,2025-07-04,Retail,Midwest,completed,98.6
20,1097,2025-09-19,Ecommerce,Northeast,completed,362.6
21,670,2025-04-13,Retail,West,completed,108.0
22,840,2025-10-21,Ecommerce,Southeast,completed,116.0
23,957,2025-11-16,Ecommerce,West,completed,55.0
24,812,2025-07-13,Ecommerce,Midwest,completed,436.0
25,1000,2025-08-10,Ecommerce,Midwest,completed,89.3
26,1016,2025-06-01,Wholesale,Southeast,completed,560.0
27,610,2025-11-12,Ecommerce,Southeast,completed,167.2
28,648,2025-10-09,Ecommerce,Southeast,completed,107.0
29,1169,2025-05-24,Ecommerce,Southeast,completed,608.0
30,901,2025-07-19,Ecommerce,West,completed,116.0
31,1130,2025-07-05,Ecommerce,West,completed,248.0
32,386,2025-03-08,Ecommerce,West,completed,276.6
33,233,2025-11-29,Retail,Midwest,completed,245.0
34,765,2025-08-17,Ecommerce,West,completed,521.3
35,759,2025-03-17,Ecommerce,Southeast,completed,289.05
36,1130,2025-08-01,Retail,West,completed,606.85
37,840,2025-11-19,Ecommerce,Southeast,completed,911.45
38,746,2025-01-05,Ecommerce,Southwest,completed,50.0
39,434,2025-09-07,Ecommerce,Midwest,completed,192.0
40,59,2025-02-06,Retail,West,completed,384.0
41,18,2025-05-09,Wholesale,Southeast,completed,390.3
42,812,2025-05-15,Ecommerce,Midwest,completed,345.0
43,959,2025-03-27,Retail,Southwest,completed,431.0
44,365,2025-06-08,Ecommerce,Southwest,completed,282.0
45,174,2025-08-19,Retail,Midwest,completed,120.6
46,858,2025-07-11,Ecommerce,Southeast,completed,236.0
47,1060,2025-06-04,Ecommerce,West,completed,126.35
48,962,2025-01-27,Retail,Midwest,completed,375.7
49,815,2025-12-23,Ecommerce,Southwest,completed,645.0
50,650,2025-05-14,Ecommerce,Northeast,completed,117.0
51,691,2025-10-11,Wholesale,Southeast,completed,279.5
52,428,2025-11-24,Ecommerce,Southwest,completed,207.4
53,9,2025-09-05,Ecommerce,Southeast,completed,296.0
