product_id,product_name,category,gender,color,size,season,unit_cost,retail_price,launch_date,product_status
1,Transit Performance Jogger,Joggers,Men,Forest,XS,Winter,42.48,119.0,2024-12-02,active
2,Transit Performance Jogger,Joggers,Men,Forest,S,Core,58.26,121.0,2024-11-24,active
3,Transit Performance Jogger,Joggers,Men,Forest,M,Winter,45.15,111.0,2024-04-26,active
4,Transit Performance Jogger,Joggers,Men,Forest,L,Fall,57.11,117.0,2024-12-15,active
5,Transit Performance Jogger,Joggers,Men,Forest,XL,Core,46.18,105.0,2025-07-22,active
6,Transit Performance Jogger,Joggers,Men,Black,XS,Winter,55.81,123.0,2024-04-15,active
7,Transit Performance Jogger,Joggers,Men,Black,S,Winter,55.59,108.0,2024-10-12,active
8,Transit Performance Jogger,Joggers,Men,Black,M,Fall,45.75,122.0,2024-08-20,active
9,Transit Performance Jogger,Joggers,Men,Black,L,Core,36.41,99.0,2025-04-20,active
10,Transit Performance Jogger,Joggers,Men,Black,XL,Core,62.21,121.0,2024-09-19,active
11,Transit Performance Jogger,Joggers,Men,Stone,XS,Fall,46.27,109.0,2025-05-24,active
12,Transit Performance Jogger,Joggers,Men,Stone,S,Fall,43.41,102.0,2024-07-30,active
13,Transit Performance Jogger,Joggers,Men,Stone,M,Winter,49.41,118.0,2024-04-12,active
14,Transit Performance Jogger,Joggers,Men,Stone,L,Fall,47.15,119.0,2025-05-06,active
15,Transit Performance Jogger,Joggers,Men,Stone,XL,Summer,49.99,122.0,2025-07-28,active
16,Transit Performance Jogger,Joggers,Men,Oat,XS,Core,43.45,119.0,2025-06-16,active
17,Transit Performance Jogger,Joggers,Men,Oat,S,Fall,47.2,98.0,2025-05-14,active
18,Transit Performance Jogger,Joggers,Men,Oat,M,Fall,57.18,119.0,2024-12-21,active
19,Transit Performance Jogger,Joggers,Men,Oat,L,Fall,41.99,115.0,2024-06-06,active
20,Transit Performance Jogger,Joggers,Men,Oat,XL,Spring,50.13,118.0,2025-07-01,active
21,Transit Performance Jogger,Joggers,Women,Forest,XS,Spring,54.96,121.0,2024-12-27,active
22,Transit Performance Jogger,Joggers,Women,Forest,S,Summer,45.39,115.0,2025-01-20,active
23,Transit Performance Jogger,Joggers,Women,Forest,M,Core,42.03,111.0,2024-06-25,active
24,Transit Performance Jogger,Joggers,Women,Forest,L,Core,47.38,124.0,2025-06-09,active
25,Transit Performance Jogger,Joggers,Women,Forest,XL,Spring,41.64,106.0,2024-10-04,active
26,Transit Performance Jogger,Joggers,Women,Black,XS,Fall,55.33,115.0,2025-09-29,active
27,Transit Performance Jogger,Joggers,Women,Black,S,Summer,53.52,110.0,2024-07-24,active
28,Transit Performance Jogger,Joggers,Women,Black,M,Winter,34.91,98.0,2025-05-08,active
29,Transit Performance Jogger,Joggers,Women,Black,L,Core,41.33,112.0,2025-07-30,active
30,Transit Performance Jogger,Joggers,Women,Black,XL,Spring,47.46,102.0,2024-11-13,active
31,Transit Performance Jogger,Joggers,Women,Stone,XS,Winter,42.98,109.0,2025-03-13,active
32,Transit Performance Jogger,Joggers,Women,Stone,S,Summer,38.78,109.0,2024-08-07,active
33,Transit Performance Jogger,Joggers,Women,Stone,M,Fall,63.95,127.0,2024-11-12,active
34,Transit Performance Jogger,Joggers,Women,Stone,L,Summer,54.53,106.0,2024-06-17,active
35,Transit Performance Jogger,Joggers,Women,Stone,XL,Spring,50.51,120.0,2025-04-16,active
36,Transit Performance Jogger,Joggers,Women,Oat,XS,Winter,50.25,100.0,2024-03-22,active
37,Transit Performance Jogger,Joggers,Women,Oat,S,Fall,41.09,104.0,2025-06-01,active
38,Transit Performance Jogger,Joggers,Women,Oat,M,Fall,50.9,103.0,2024-01-13,active
39,Transit Performance Jogger,Joggers,Women,Oat,L,Spring,50.13,120.0,2024-07-16,active
40,Transit Performance Jogger,Joggers,Women,Oat,XL,Winter,53.01,116.0,2025-02-06,active
41,Transit Performance Jogger,Joggers,Unisex,Forest,XS,Spring,38.22,110.0,2024-04-24,active
42,Transit Performance Jogger,Joggers,Unisex,Forest,S,Spring,39.53,108.0,2025-03-09,active
43,Transit Performance Jogger,Joggers,Unisex,Forest,M,Core,43.0,116.0,2024-07-10,active
44,Transit Performance Jogger,Joggers,Unisex,Forest,L,Summer,46.68,116.0,2025-01-26,active
45,Transit Performance Jogger,Joggers,Unisex,Forest,XL,Fall,50.23,98.0,2024-09-24,active
46,Transit Performance Jogger,Joggers,Unisex,Black,XS,Winter,43.3,122.0,2024-06-25,active
47,Transit Performance Jogger,Joggers,Unisex,Black,S,Fall,57.5,113.0,2024-04-13,active
48,Transit Performance Jogger,Joggers,Unisex,Black,M,Fall,43.46,112.0,2025-09-02,active
49,Transit Performance Jogger,Joggers,Unisex,Black,L,Summer,47.77,114.0,2024-07-01,active
50,Transit Performance Jogger,Joggers,Unisex,Black,XL,Summer,61.66,123.0,2024-12-13,active
51,Transit Performance Jogger,Joggers,Unisex,Stone,XS,Spring,41.35,115.0,2025-03-02,active
52,Transit Performance Jogger,Joggers,Unisex,Stone,S,Core,48.62,106.0,2025-04-12,active
53,Transit Performance Jogger,Joggers,Unisex,Stone,M,Core,43.49,121.0,2025-01-28,active
54,Transit Performance Jogger,Joggers,Unisex,Stone,L,Fall,36.41,105.0,2024-03-31,active
55,Transit Performance Jogger,Joggers,Unisex,Stone,XL,Core,53.34,109.0,2024-10-21,active
56,Transit Performance Jogger,Joggers,Unisex,Oat,XS,Winter,54.73,107.0,2025-02-10,active
57,Transit Performance Jogger,Joggers,Unisex,Oat,S,Spring,43.63,113.0,2025-09-26,active
58,Transit Performance Jogger,Joggers,Unisex,Oat,M,Core,35.85,103.0,2024-07-10,active
59,Transit Performance Jogger,Joggers,Unisex,Oat,L,Core,64.06,128.0,2024-02-28,active
60,Transit Performance Jogger,Joggers,Unisex,Oat,XL,Fall,62.6,125.0,2024-03-15,active
61,Sunday Lounge Jogger,Joggers,Men,Navy,XS,Summer,59.3,125.0,2024-03-01,active
62,Sunday Lounge Jogger,Joggers,Men,Navy,S,Spring,37.57,98.0,2025-08-22,active
63,Sunday Lounge Jogger,Joggers,Men,Navy,M,Spring,36.76,100.0,2025-06-15,active
64,Sunday Lounge Jogger,Joggers,Men,Navy,L,Spring,54.22,109.0,2025-01-18,active
65,Sunday Lounge Jogger,Joggers,Men,Navy,XL,Core,50.87,106.0,2024-07-17,active
66,Sunday Lounge Jogger,Joggers,Men,Heather Grey,XS,Spring,41.35,113.0,2024-11-16,active
67,Sunday Lounge Jogger,Joggers,Men,Heather Grey,S,Winter,37.46,103.0,2024-05-26,active
68,Sunday Lounge Jogger,Joggers,Men,Heather Grey,M,Winter,55.19,128.0,2024-03-18,active
69,Sunday Lounge Jogger,Joggers,Men,Heather Grey,L,Core,45.49,121.0,2025-01-06,active
70,Sunday Lounge Jogger,Joggers,Men,Heather Grey,XL,Spring,46.36,98.0,2025-04-02,active
71,Sunday Lounge Jogger,Joggers,Men,Black,XS,Summer,56.27,111.0,2024-03-20,active
72,Sunday Lounge Jogger,Joggers,Men,Black,S,Winter,54.78,128.0,2024-07-11,active
73,Sunday Lounge Jogger,Joggers,Men,Black,M,Core,41.9,107.0,2025-09-03,active
74,Sunday Lounge Jogger,Joggers,Men,Black,L,Winter,49.71,113.0,2024-01-16,active
75,Sunday Lounge Jogger,Joggers,Men,Black,XL,Fall,45.29,124.0,2024-03-08,active
76,Sunday Lounge Jogger,Joggers,Men,Oat,XS,Core,43.83,98.0,2025-09-10,active
77,Sunday Lounge Jogger,Joggers,Men,Oat,S,Winter,50.9,120.0,2025-05-29,active
78,Sunday Lounge Jogger,Joggers,Men,Oat,M,Core,44.6,124.0,2024-01-12,active
79,Sunday Lounge Jogger,Joggers,Men,Oat,L,Fall,40.1,105.0,2025-05-24,active
80,Sunday Lounge Jogger,Joggers,Men,Oat,XL,Winter,60.04,121.0,2025-01-22,active
81,Sunday Lounge Jogger,Joggers,Women,Navy,XS,Fall,43.18,106.0,2024-09-21,active
82,Sunday Lounge Jogger,Joggers,Women,Navy,S,Fall,50.11,101.0,2025-02-21,active
