return_id,order_id,order_item_id,product_id,return_date,quantity_returned,return_reason,refund_amount
1,65,133,454,2025-10-01,1,Changed mind,136.0
2,365,743,941,2025-05-12,1,Late delivery,78.0
3,288,586,605,2025-07-23,1,Color not as expected,32.4
4,460,933,441,2025-12-05,1,Quality issue,132.0
5,3387,6739,802,2025-06-28,1,Color not as expected,43.0
6,3301,6557,76,2025-07-21,1,Too small,98.0
7,2931,5845,398,2025-05-17,1,Late delivery,118.8
8,188,382,611,2025-06-02,1,Too small,64.0
9,719,1434,830,2025-09-22,1,Late delivery,51.0
10,251,504,359,2025-04-16,1,Too large,93.1
11,2369,4773,136,2025-01-27,1,Quality issue,105.0
12,2715,5419,470,2025-02-16,1,Too small,136.0
13,1404,2816,84,2025-08-02,1,Color not as expected,99.2
14,779,1546,885,2025-06-09,1,Color not as expected,110.0
15,2334,4710,767,2025-04-27,1,Changed mind,49.0
16,3095,6167,293,2025-12-11,1,Changed mind,68.0
17,2524,5047,547,2025-07-03,1,Late delivery,137.0
18,2500,5007,742,2025-04-26,1,Too small,48.0
19,266,544,144,2025-05-07,1,Late delivery,93.6
20,1629,3271,439,2025-01-23,1,Quality issue,122.0
21,1669,3356,994,2025-07-31,1,Too small,181.0
22,1563,3150,347,2025-03-29,1,Changed mind,108.0
23,2603,5202,479,2025-03-22,1,Color not as expected,125.0
24,1355,2707,242,2025-01-31,1,Color not as expected,58.0
25,121,246,271,2025-02-24,1,Color not as expected,54.9
26,2224,4501,694,2025-06-19,1,Quality issue,51.3
27,2025,4088,707,2025-04-12,1,Late delivery,67.0
28,1386,2779,104,2025-06-09,1,Changed mind,111.0
29,2395,4815,605,2025-11-04,1,Changed mind,54.0
30,118,240,176,2025-06-03,1,Changed mind,104.0
31,837,1670,344,2025-09-17,1,Color not as expected,103.0
32,2454,4922,315,2025-08-26,1,Too small,123.3
33,2715,5420,940,2025-01-25,1,Changed mind,61.6
34,473,958,416,2025-03-27,1,Too small,110.5
35,18,38,733,2025-04-27,1,Quality issue,56.0
36,1385,2776,118,2025-02-23,1,Quality issue,114.0
37,1383,2771,717,2025-05-30,1,Changed mind,58.0
38,3261,6475,473,2025-04-01,1,Too small,84.0
39,2855,5696,347,2025-03-26,1,Changed mind,108.0
40,2041,4120,207,2025-04-25,1,Color not as expected,63.0
41,1497,3009,782,2025-05-02,1,Too large,48.0
42,2882,5752,539,2025-04-08,1,Too large,118.0
43,2589,5175,930,2025-02-21,1,Changed mind,79.0
44,1287,2573,152,2025-06-20,1,Too large,107.0
45,2173,4392,628,2025-10-23,1,Quality issue,46.75
46,642,1288,692,2025-11-25,1,Late delivery,55.0
47,2723,5437,80,2025-05-09,1,Color not as expected,114.95
48,537,1080,785,2025-06-07,1,Changed mind,47.6
49,1663,3341,1014,2025-03-21,1,Too small,158.0
50,3178,6321,222,2025-02-11,1,Changed mind,59.0
51,1074,2132,85,2025-05-11,1,Too large,112.0
52,2996,5968,152,2025-09-14,1,Color not as expected,107.0
